name,age,has_spouse,spouse_accompanying,education_level,canadian_education,first_lang_speaking,first_lang_listening,first_lang_reading,first_lang_writing,has_second_language,second_lang_speaking,second_lang_listening,second_lang_reading,second_lang_writing,canadian_work_experience,foreign_work_experience,has_sibling_in_canada,has_job_offer,has_provincial_nomination,clb7_and_post_secondary,post_secondary_and_canadian_exp,foreign_and_canadian_exp,trade_certificate,spouse_education_level,spouse_canadian_exp,spouse_lang_speaking,spouse_lang_listening,spouse_lang_reading,spouse_lang_writing,crs_score,improvement_strategy
John Wilson,33,False,False,2,3,11,6,5,6,False,0,0,0,0,4,5,False,0,False,True,False,True,False,0,0,0,0,0,0,378,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Richard King,48,True,True,1,0,8,10,9,7,False,0,0,0,0,4,1,True,2,True,False,True,True,False,3,5,12,12,10,8,949,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, learn second official language"
Sandra Kennedy,29,False,False,6,0,6,8,10,6,False,0,0,0,0,0,5,True,0,False,True,False,False,False,0,0,0,0,0,0,378,"upgrade to master degree, improve language test scores, gain more Canadian work experience, learn second official language"
William Brown,48,True,True,6,1,4,8,12,9,True,9,10,9,6,3,3,True,0,True,True,True,True,True,8,3,4,8,5,4,1045,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, secure Canadian job offer"
Dennis Rowland,27,True,True,4,1,4,8,9,11,True,8,5,11,5,0,3,False,0,False,True,False,True,False,2,5,8,4,5,8,410,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Benjamin Noble,47,False,False,5,0,4,4,8,9,True,12,4,7,9,5,4,False,0,False,True,True,False,True,0,0,0,0,0,0,406,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, secure Canadian job offer"
Anthony Griffin,26,False,False,8,1,6,5,6,12,False,0,0,0,0,4,2,True,0,True,True,True,False,False,0,0,0,0,0,0,1068,"improve language test scores, secure Canadian job offer"
Gabriela Molina,42,False,False,3,3,5,10,4,9,True,11,10,7,9,1,3,True,1,False,False,True,True,False,0,0,0,0,0,0,601,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience, explore provincial nomination programs"
Scott Wright,40,False,False,8,0,10,8,12,4,True,6,10,5,6,6,1,False,0,False,True,False,True,True,0,0,0,0,0,0,499,"apply soon to avoid further age point reductions, improve language test scores, secure Canadian job offer"
Jean Stevens,44,True,True,4,0,5,12,10,5,True,12,12,11,11,4,5,False,2,True,False,True,False,False,7,2,6,5,9,11,986,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores"
Robert Lamb,27,False,False,3,2,9,11,4,12,True,5,8,7,11,1,5,True,2,True,False,False,True,True,0,0,0,0,0,0,1163,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Leon Lane,20,False,False,8,3,9,12,8,11,False,0,0,0,0,4,5,False,1,False,False,False,True,False,0,0,0,0,0,0,759,improve language test scores
Travis Wright,34,True,True,2,2,10,10,4,9,True,4,9,10,8,4,3,False,1,False,False,False,False,False,4,0,12,11,8,11,545,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Evelyn Brown,33,True,False,4,1,10,5,5,10,True,5,8,11,6,5,2,False,2,False,True,False,True,False,0,0,0,0,0,0,495,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores"
Carmen Butler,26,True,True,6,0,6,6,11,5,False,0,0,0,0,2,2,True,0,False,False,True,True,False,7,1,11,11,9,6,453,"upgrade to master degree, improve language test scores, gain more Canadian work experience, learn second official language, explore provincial nomination programs"
Sandra Martinez,33,False,False,2,2,6,5,9,6,False,0,0,0,0,5,4,False,2,False,True,False,False,False,0,0,0,0,0,0,368,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Kimberly Flynn,46,True,True,7,3,7,9,12,10,True,7,6,7,4,5,1,False,1,False,False,True,False,True,2,3,10,6,11,8,654,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores"
Christopher Cardenas,21,True,False,6,1,6,8,8,10,True,10,4,7,12,0,4,False,0,False,True,True,False,True,0,0,0,0,0,0,467,"upgrade to master degree, improve language test scores, gain more Canadian work experience"
Holly Harrison,44,False,False,5,1,11,7,8,12,False,0,0,0,0,0,2,False,2,True,True,True,True,True,0,0,0,0,0,0,997,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
Erin Hawkins,17,False,False,7,2,10,12,5,6,False,0,0,0,0,3,1,True,0,True,False,False,True,False,0,0,0,0,0,0,975,"upgrade to PhD degree, improve language test scores, learn second official language"
Katrina Hayes,21,True,False,2,3,12,8,10,8,True,7,9,10,10,1,4,True,0,False,True,False,True,False,0,0,0,0,0,0,460,"upgrade to  degree, improve language test scores, gain more Canadian work experience, secure Canadian job offer"
Courtney Cox,41,False,False,6,1,12,7,7,7,False,0,0,0,0,1,1,False,0,True,True,True,False,False,0,0,0,0,0,0,955,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores, gain more Canadian work experience, secure Canadian job offer"
Justin Butler,35,False,False,4,1,12,6,6,6,True,9,12,10,5,6,3,True,0,False,True,True,False,False,0,0,0,0,0,0,425,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, explore provincial nomination programs"
Nicole Day,27,False,False,6,1,8,12,11,12,True,6,5,6,5,3,4,False,2,True,True,False,False,False,0,0,0,0,0,0,1131,"upgrade to master degree, improve language test scores"
Mike Parks,22,True,True,1,1,8,11,11,8,False,0,0,0,0,2,4,False,2,False,False,True,False,False,7,3,5,11,5,12,384,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Elizabeth Morris,37,False,False,8,3,8,7,8,5,False,0,0,0,0,2,4,True,2,True,False,False,True,False,0,0,0,0,0,0,1108,"apply soon to avoid further age point reductions, improve language test scores, gain more Canadian work experience"
Cassandra Obrien,22,False,False,4,2,10,9,8,7,True,12,7,8,4,3,3,False,0,False,True,True,False,False,0,0,0,0,0,0,479,"upgrade to bachelor degree, improve language test scores, secure Canadian job offer"
Sandra Alexander,46,False,False,5,3,5,4,4,8,False,0,0,0,0,6,4,True,1,True,False,False,False,True,0,0,0,0,0,0,1161,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores"
Zachary Brown,19,False,False,7,2,7,8,10,4,False,0,0,0,0,1,5,False,1,False,False,False,True,False,0,0,0,0,0,0,650,"upgrade to PhD degree, improve language test scores, gain more Canadian work experience"
Alejandro Thomas,35,False,False,2,3,11,7,11,8,True,9,10,10,11,6,2,False,2,False,True,True,False,False,0,0,0,0,0,0,460,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, explore provincial nomination programs"
Jacob Hunter,42,False,False,8,0,10,5,4,10,False,0,0,0,0,6,2,True,1,False,False,True,False,True,0,0,0,0,0,0,641,"apply soon to avoid further age point reductions, improve language test scores, learn second official language"
Randy Wilson,24,True,False,7,2,9,5,12,7,False,0,0,0,0,3,1,True,2,True,False,True,False,False,0,0,0,0,0,0,1115,"upgrade to PhD degree, improve language test scores"
Dakota Sloan,26,False,False,3,2,4,8,10,9,False,0,0,0,0,1,1,True,0,True,True,True,False,True,0,0,0,0,0,0,1077,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
William Arnold,34,False,False,1,0,11,12,10,6,False,0,0,0,0,2,2,True,0,False,True,False,True,True,0,0,0,0,0,0,375,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience, secure Canadian job offer"
Kimberly Booth,34,False,False,1,0,12,12,12,11,True,12,4,6,12,6,1,True,0,True,True,False,True,False,0,0,0,0,0,0,1015,"apply soon to avoid further age point reductions, upgrade to  degree"
Kyle Ortiz,36,False,False,2,0,10,9,4,4,True,7,10,11,4,2,3,True,2,False,False,True,True,False,0,0,0,0,0,0,412,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience"
Ralph Garcia,30,False,False,1,0,10,10,8,7,False,0,0,0,0,5,2,True,0,True,False,False,False,True,0,0,0,0,0,0,971,"upgrade to  degree, improve language test scores"
Jerry Rasmussen,21,False,False,4,0,10,9,5,9,True,4,6,11,10,3,0,False,0,False,True,True,True,False,0,0,0,0,0,0,487,"upgrade to bachelor degree, improve language test scores, secure Canadian job offer"
Mary Chaney,19,True,False,3,3,8,9,10,6,True,9,8,8,5,2,5,True,0,True,False,False,True,False,0,0,0,0,0,0,1078,"upgrade to  degree, improve language test scores, gain more Canadian work experience"
Cynthia Lewis,25,False,False,6,0,12,7,10,6,False,0,0,0,0,3,0,True,0,True,True,True,True,True,0,0,0,0,0,0,1111,"upgrade to master degree, improve language test scores, learn second official language"
Matthew Collins,32,False,False,5,3,8,5,4,5,False,0,0,0,0,6,4,False,1,False,True,False,True,True,0,0,0,0,0,0,690,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, learn second official language"
Tiffany Santos,27,False,False,5,3,4,12,7,5,False,0,0,0,0,6,3,True,1,False,True,False,True,False,0,0,0,0,0,0,718,"upgrade to bachelor degree, improve language test scores"
Miss Natalie Hill,41,True,True,2,2,5,4,11,9,True,10,12,7,6,1,2,False,0,True,True,True,True,False,8,4,8,6,11,12,948,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience, secure Canadian job offer"
Mark Kelly,37,True,False,1,1,9,12,10,6,True,5,12,8,6,6,5,True,0,False,True,True,False,False,0,0,0,0,0,0,355,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, secure Canadian job offer"
Karen Jarvis,28,True,False,5,3,4,6,12,7,False,0,0,0,0,0,5,True,2,False,True,False,False,True,0,0,0,0,0,0,491,"upgrade to bachelor degree, improve language test scores, gain more Canadian work experience, learn second official language"
Pamela Walker,31,True,True,6,1,12,9,5,9,True,10,7,6,9,5,2,True,1,True,True,True,True,False,5,6,12,6,11,12,1353,"apply soon to avoid further age point reductions, upgrade to master degree, improve language test scores"
David Houston,18,True,False,4,1,9,9,9,5,False,0,0,0,0,4,2,False,1,True,False,True,False,False,0,0,0,0,0,0,1206,"upgrade to bachelor degree, improve language test scores"
Charles Davies,29,False,False,2,3,12,11,12,6,True,9,10,6,9,6,4,True,2,False,True,False,False,True,0,0,0,0,0,0,545,"upgrade to  degree, improve language test scores"
Bryan Tucker,27,True,True,7,0,10,4,7,8,True,8,12,6,5,6,5,False,0,True,True,True,False,True,8,4,6,7,6,11,1137,"upgrade to PhD degree, improve language test scores"
Nathan Houston,39,True,True,5,1,8,6,9,6,False,0,0,0,0,4,0,True,2,False,True,True,True,True,3,1,11,9,11,7,486,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, learn second official language"
Andrew Wilson,28,True,False,7,1,8,6,7,7,True,10,8,4,7,5,2,False,0,True,True,False,False,False,0,0,0,0,0,0,1041,"upgrade to PhD degree, improve language test scores"
Eric Mason,31,False,False,8,3,8,11,6,6,False,0,0,0,0,0,2,False,2,True,True,False,False,True,0,0,0,0,0,0,1092,"apply soon to avoid further age point reductions, improve language test scores, gain more Canadian work experience, learn second official language"
Laura Hill,50,True,False,2,1,7,6,12,12,False,0,0,0,0,5,5,True,0,False,True,False,False,False,0,0,0,0,0,0,269,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, learn second official language, secure Canadian job offer"
Maria Gentry,17,False,False,3,3,7,5,12,7,True,12,5,11,6,4,0,True,1,True,True,False,False,False,0,0,0,0,0,0,1120,"upgrade to  degree, improve language test scores"
Jose Adams,38,False,False,7,2,10,4,6,10,False,0,0,0,0,0,4,True,2,False,False,False,False,False,0,0,0,0,0,0,384,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores, gain more Canadian work experience"
Linda Stewart,48,True,True,8,1,11,8,8,9,True,5,4,12,10,5,3,True,2,True,False,False,True,False,7,5,8,12,11,8,1104,"apply soon to avoid further age point reductions, improve language test scores"
Kristine Vazquez,28,True,False,3,1,8,11,6,6,True,9,8,7,11,3,3,True,1,False,False,False,True,True,0,0,0,0,0,0,697,"upgrade to  degree, improve language test scores"
Scott Warner,39,False,False,8,1,9,6,9,7,False,0,0,0,0,2,1,False,2,True,False,False,True,True,0,0,0,0,0,0,1109,"apply soon to avoid further age point reductions, improve language test scores, gain more Canadian work experience"
Anthony Johnston,35,True,True,7,0,9,9,9,12,True,8,12,4,6,4,3,False,1,True,False,True,True,False,7,1,11,5,4,12,1314,"apply soon to avoid further age point reductions, upgrade to PhD degree"
Theresa Oneal,28,False,False,8,3,10,6,4,8,False,0,0,0,0,1,1,True,1,True,True,False,True,False,0,0,0,0,0,0,1305,"improve language test scores, gain more Canadian work experience"
Margaret Smith,29,False,False,7,0,8,6,10,8,True,10,6,10,8,1,2,True,2,True,False,False,False,True,0,0,0,0,0,0,1118,"upgrade to PhD degree, improve language test scores, gain more Canadian work experience"
Tina Silva,21,True,True,4,2,4,11,4,8,True,9,12,4,5,5,0,True,0,True,True,False,True,False,4,1,4,5,12,9,1068,"upgrade to bachelor degree, improve language test scores"
Dr. Miguel Hernandez,26,True,True,1,1,9,6,9,4,True,12,12,9,10,5,3,False,2,False,True,True,True,True,2,0,12,7,5,7,453,"upgrade to  degree, improve language test scores"
Desiree Morgan,22,False,False,2,0,12,5,9,6,True,10,10,9,6,3,2,True,2,False,False,False,False,False,0,0,0,0,0,0,381,"upgrade to  degree, improve language test scores, explore provincial nomination programs"
Matthew Simmons,50,False,False,8,2,5,8,8,11,True,7,12,5,11,0,2,False,2,True,False,True,True,True,0,0,0,0,0,0,1030,"apply soon to avoid further age point reductions, improve language test scores, gain more Canadian work experience"
Jenna Smith,45,False,False,5,1,10,11,7,10,False,0,0,0,0,1,2,True,1,False,True,True,False,True,0,0,0,0,0,0,607,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience, learn second official language"
Shawn Villanueva,33,False,False,1,1,7,12,5,8,True,7,8,8,9,5,2,True,0,True,False,True,True,True,0,0,0,0,0,0,991,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores"
Marie Burke,30,False,False,2,3,5,12,11,10,True,6,9,11,10,2,4,False,0,False,False,False,False,False,0,0,0,0,0,0,370,"upgrade to  degree, improve language test scores, gain more Canadian work experience, explore provincial nomination programs, secure Canadian job offer"
Richard Davis,26,True,False,2,1,9,10,12,9,False,0,0,0,0,0,1,True,1,False,False,False,False,True,0,0,0,0,0,0,548,"upgrade to  degree, gain more Canadian work experience"
Brenda Hoover,28,False,False,1,1,11,5,6,8,False,0,0,0,0,1,5,False,0,True,False,True,False,False,0,0,0,0,0,0,872,"upgrade to  degree, improve language test scores, gain more Canadian work experience, learn second official language"
Lisa Flores,47,False,False,3,0,11,5,5,12,True,8,9,12,11,0,1,True,1,False,False,False,True,False,0,0,0,0,0,0,469,"apply soon to avoid further age point reductions, upgrade to  degree, improve language test scores, gain more Canadian work experience, explore provincial nomination programs"
Jerry Romero,44,True,False,8,1,4,4,7,7,True,6,5,11,7,4,2,False,2,False,False,False,True,False,0,0,0,0,0,0,398,"apply soon to avoid further age point reductions, improve language test scores"
Amanda Brown,29,False,False,2,1,11,4,12,9,False,0,0,0,0,6,5,False,2,False,True,False,False,True,0,0,0,0,0,0,475,"upgrade to  degree, improve language test scores, explore provincial nomination programs"
Ms. Jennifer Newton,33,True,True,8,0,11,4,4,6,True,7,8,9,11,2,3,True,1,False,True,True,True,False,3,2,9,9,12,9,709,"apply soon to avoid further age point reductions, improve language test scores, gain more Canadian work experience"
William Butler,39,True,False,7,0,4,9,6,8,False,0,0,0,0,4,5,True,2,False,True,True,True,False,0,0,0,0,0,0,521,"apply soon to avoid further age point reductions, upgrade to PhD degree, improve language test scores, learn second official language"
Aaron Mueller,28,True,False,6,3,6,6,7,6,True,6,4,9,10,1,3,True,0,False,False,False,False,True,0,0,0,0,0,0,455,"upgrade to master degree, improve language test scores, gain more Canadian work experience, secure Canadian job offer"
Jamie Roth,37,True,False,5,3,7,9,4,9,True,9,7,8,8,1,5,False,1,True,True,True,True,True,0,0,0,0,0,0,1281,"apply soon to avoid further age point reductions, upgrade to bachelor degree, improve language test scores, gain more Canadian work experience"
